"gallery-container href","badge-label","description","location","price","bed","bath","floorarea","price per area","distance from public transportation","established year","posting date","website","agent","headline","lazy src","lazy src 2","lazy src 3"
"https://www.ddproperty.com/property/ideo-morph-38-%E0%B9%84%E0%B8%AD%E0%B8%94%E0%B8%B5%E0%B9%82%E0%B8%AD-%E0%B8%A1%E0%B8%AD%E0%B8%A3%E0%B9%8C%E0%B8%9F-38-%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E-%E0%B8%82%E0%B8%B2%E0%B8%A2-10738809","Featured Agent","IDEO Morph 38 : ไอดีโอ มอร์ฟ 38, กรุงเทพ","88 ซอยสุขุมวิท 38 ถนนสุขุมวิท แขวงพระโขนง เขตคลองเตย กรุงเทพมหานคร, พระโขนง, คลองเตย, กรุงเทพ","7,100,000","1","1","37 ตร.ม.","฿191,892 / ตารางเมตร","5 นาที (370 ม.) ถึง E6 BTS ทองหล่อ","ปีที่สร้างเสร็จ: 2012","3 สัปดาห์","https://www.ddproperty.com/property/ideo-morph-38-%E0%B9%84%E0%B8%AD%E0%B8%94%E0%B8%B5%E0%B9%82%E0%B8%AD-%E0%B8%A1%E0%B8%AD%E0%B8%A3%E0%B9%8C%E0%B8%9F-38-%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E-%E0%B8%82%E0%B8%B2%E0%B8%A2-10738809#contact-agent","Clue อินคอร์ปอเรชั่น","""ขาย 1 นอน ดูเพล็กซ์ ที่สุดทำเล เลี้ยงสัตว์ได้ ไอดีโอ มอร์ฟ 38""","","",""
"https://www.ddproperty.com/property/lumpini-place-rama-4-kluaynamthai-%E0%B8%A5%E0%B8%B8%E0%B8%A1%E0%B8%9E%E0%B8%B4%E0%B8%99%E0%B8%B5-%E0%B9%80%E0%B8%9E%E0%B8%A5%E0%B8%AA-%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%A3%E0%B8%B2%E0%B8%A1-4-%E0%B8%81%E0%B8%A5%E0%B9%89%E0%B8%A7%E0%B8%A2%E0%B8%99%E0%B9%89%E0%B8%B3%E0%B9%84%E0%B8%97-%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E-%E0%B8%82%E0%B8%B2%E0%B8%A2-10731345","เอเจนซี่อสังหาฯ","Lumpini Place Rama 4-Kluaynamthai : ลุมพินี เพลส พระราม 4-กล้วยน้ำไท, กรุงเทพ","4004 ถนนพระรามที่ 4 แขวงพระโขนง เขตคลองเตย กรุงเทพมหานคร, พระโขนง, คลองเตย, กรุงเทพ","2,090,000","1","1","28 ตร.ม.","฿74,245 / ตารางเมตร","11 นาที (800 ม.) ถึง E7 BTS เอกมัย","ปีที่สร้างเสร็จ: 2010","21 ชั่วโมง","https://www.ddproperty.com/property/lumpini-place-rama-4-kluaynamthai-%E0%B8%A5%E0%B8%B8%E0%B8%A1%E0%B8%9E%E0%B8%B4%E0%B8%99%E0%B8%B5-%E0%B9%80%E0%B8%9E%E0%B8%A5%E0%B8%AA-%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%A3%E0%B8%B2%E0%B8%A1-4-%E0%B8%81%E0%B8%A5%E0%B9%89%E0%B8%A7%E0%B8%A2%E0%B8%99%E0%B9%89%E0%B8%B3%E0%B9%84%E0%B8%97-%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E-%E0%B8%82%E0%B8%B2%E0%B8%A2-10731345#contact-agent","Number One Real Estate Co.,Ltd.","""ใกล้ BTS เอกมัย และมหาวิทยาลัยกรุงเทพ""","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC","",""
"https://www.ddproperty.com/property/life-sukhumvit-48-%E0%B9%84%E0%B8%A5%E0%B8%9F%E0%B9%8C-%E0%B8%AA%E0%B8%B8%E0%B8%82%E0%B8%B8%E0%B8%A1%E0%B8%A7%E0%B8%B4%E0%B8%97-48-%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E-%E0%B8%82%E0%B8%B2%E0%B8%A2-10234246","","Life Sukhumvit 48 : ไลฟ์ สุขุมวิท 48, กรุงเทพ","ซอยสุขุมวิท 48, พระโขนง, คลองเตย, กรุงเทพ","4,800,000","2","1","47 ตร.ม.","฿101,180 / ตารางเมตร","7 นาที (550 ม.) ถึง E8 BTS พระโขนง","ปีที่สร้างเสร็จ: 2018","22 ชั่วโมง","https://www.ddproperty.com/property/life-sukhumvit-48-%E0%B9%84%E0%B8%A5%E0%B8%9F%E0%B9%8C-%E0%B8%AA%E0%B8%B8%E0%B8%82%E0%B8%B8%E0%B8%A1%E0%B8%A7%E0%B8%B4%E0%B8%97-48-%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E-%E0%B8%82%E0%B8%B2%E0%B8%A2-10234246#contact-agent","Realty Hub","""ขายคอนโด Life Sukhumvit 48""","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",""
"https://www.ddproperty.com/property/lumpini-place-rama-4-kluaynamthai-%E0%B8%A5%E0%B8%B8%E0%B8%A1%E0%B8%9E%E0%B8%B4%E0%B8%99%E0%B8%B5-%E0%B9%80%E0%B8%9E%E0%B8%A5%E0%B8%AA-%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%A3%E0%B8%B2%E0%B8%A1-4-%E0%B8%81%E0%B8%A5%E0%B9%89%E0%B8%A7%E0%B8%A2%E0%B8%99%E0%B9%89%E0%B8%B3%E0%B9%84%E0%B8%97-%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E-%E0%B8%82%E0%B8%B2%E0%B8%A2-10731088","","Lumpini Place Rama 4-Kluaynamthai : ลุมพินี เพลส พระราม 4-กล้วยน้ำไท, กรุงเทพ","4004 ถนนพระรามที่ 4 แขวงพระโขนง เขตคลองเตย กรุงเทพมหานคร, พระโขนง, คลองเตย, กรุงเทพ","2,200,000","1","1","28 ตร.ม.","฿78,571 / ตารางเมตร","11 นาที (800 ม.) ถึง E7 BTS เอกมัย","ปีที่สร้างเสร็จ: 2010","1 วัน","https://www.ddproperty.com/property/lumpini-place-rama-4-kluaynamthai-%E0%B8%A5%E0%B8%B8%E0%B8%A1%E0%B8%9E%E0%B8%B4%E0%B8%99%E0%B8%B5-%E0%B9%80%E0%B8%9E%E0%B8%A5%E0%B8%AA-%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%A3%E0%B8%B2%E0%B8%A1-4-%E0%B8%81%E0%B8%A5%E0%B9%89%E0%B8%A7%E0%B8%A2%E0%B8%99%E0%B9%89%E0%B8%B3%E0%B9%84%E0%B8%97-%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E-%E0%B8%82%E0%B8%B2%E0%B8%A2-10731088#contact-agent","นัฐธีรา ศิริสินทักษ์","""ห่างจาก BTS เพียง 3 นาที พร้อมสิ่งอำนวยความสะดวกครบครัน""","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC"
"https://www.ddproperty.com/property/aspire-rama-4-%E0%B9%81%E0%B8%AD%E0%B8%AA%E0%B8%9B%E0%B8%B2%E0%B8%A2-%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%A3%E0%B8%B2%E0%B8%A1-4-%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E-%E0%B8%82%E0%B8%B2%E0%B8%A2-10731124","","Aspire Rama 4 : แอสปาย พระราม 4, กรุงเทพ","ถนนพระราม 4, พระโขนง, คลองเตย, กรุงเทพ","1,990,000","1","1","28 ตร.ม.","฿71,071 / ตารางเมตร","11 นาที (800 ม.) ถึง E8 BTS พระโขนง","ปีที่สร้างเสร็จ: 2011","1 วัน","https://www.ddproperty.com/property/aspire-rama-4-%E0%B9%81%E0%B8%AD%E0%B8%AA%E0%B8%9B%E0%B8%B2%E0%B8%A2-%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%A3%E0%B8%B2%E0%B8%A1-4-%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E-%E0%B8%82%E0%B8%B2%E0%B8%A2-10731124#contact-agent","นัฐธีรา ศิริสินทักษ์","""ห่างจาก BTS เพียง 3 นาที พร้อมสิ่งอำนวยความสะดวกครบครัน""","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC"
"https://www.ddproperty.com/property/the-estelle-phrom-phong-%E0%B8%94%E0%B8%B4-%E0%B9%80%E0%B8%AD%E0%B8%AA%E0%B9%80%E0%B8%97%E0%B8%A5%E0%B8%A5%E0%B9%8C-%E0%B8%9E%E0%B8%A3%E0%B9%89%E0%B8%AD%E0%B8%A1%E0%B8%9E%E0%B8%87%E0%B8%A9%E0%B9%8C-%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E-%E0%B8%82%E0%B8%B2%E0%B8%A2-10696472","เอเจนซี่อสังหาฯ","The Estelle Phrom Phong : ดิ เอสเทลล์ พร้อมพงษ์, กรุงเทพ","ซอยสุขุมวิท 26, คลองตัน, คลองเตย, กรุงเทพ","42,900,000","2","2","144 ตร.ม.","฿297,917 / ตารางเมตร","4 นาที (270 ม.) ถึง E5 BTS พร้อมพงษ์","ปีที่สร้างเสร็จ: 2022","1 วัน","https://www.ddproperty.com/property/the-estelle-phrom-phong-%E0%B8%94%E0%B8%B4-%E0%B9%80%E0%B8%AD%E0%B8%AA%E0%B9%80%E0%B8%97%E0%B8%A5%E0%B8%A5%E0%B9%8C-%E0%B8%9E%E0%B8%A3%E0%B9%89%E0%B8%AD%E0%B8%A1%E0%B8%9E%E0%B8%87%E0%B8%A9%E0%B9%8C-%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E-%E0%B8%82%E0%B8%B2%E0%B8%A2-10696472#contact-agent","Citadel Real Estate Co., Ltd.","""Book your viewing with us now! Sale Before Transfer! Ref: Estelle_10""","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC"
"https://www.ddproperty.com/property/the-waterford-diamond-tower-%E0%B8%AA%E0%B8%B8%E0%B8%82%E0%B8%B8%E0%B8%A1%E0%B8%A7%E0%B8%B4%E0%B8%97-%E0%B9%80%E0%B8%94%E0%B8%AD%E0%B8%B0%E0%B8%A7%E0%B8%AD%E0%B9%80%E0%B8%95%E0%B8%AD%E0%B8%A3%E0%B9%8C%E0%B8%9F%E0%B8%AD%E0%B8%A3%E0%B9%8C%E0%B8%94-%E0%B9%84%E0%B8%94%E0%B8%A1%E0%B8%AD%E0%B8%99-%E0%B8%97%E0%B8%B2%E0%B8%A7%E0%B9%80%E0%B8%A7%E0%B8%AD%E0%B8%A3%E0%B9%8C-%E0%B8%AA%E0%B8%B8%E0%B8%82%E0%B8%B8%E0%B8%A1%E0%B8%A7%E0%B8%B4%E0%B8%97-%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E-%E0%B8%82%E0%B8%B2%E0%B8%A2-10765302","","The Waterford Diamond Tower สุขุมวิท (เดอะวอเตอร์ฟอร์ด ไดมอน ทาวเวอร์ สุขุมวิท), กรุงเทพ","758/18  ซอยสุขุมวิท 30/1 ถนนสุขุมวิท, คลองเตย, คลองเตย, กรุงเทพ","7,200,000","2","1","70 ตร.ม.","฿102,857 / ตารางเมตร","8 นาที (570 ม.) ถึง E6 BTS ทองหล่อ","ปีที่สร้างเสร็จ: 1999","1 วัน","https://www.ddproperty.com/property/the-waterford-diamond-tower-%E0%B8%AA%E0%B8%B8%E0%B8%82%E0%B8%B8%E0%B8%A1%E0%B8%A7%E0%B8%B4%E0%B8%97-%E0%B9%80%E0%B8%94%E0%B8%AD%E0%B8%B0%E0%B8%A7%E0%B8%AD%E0%B9%80%E0%B8%95%E0%B8%AD%E0%B8%A3%E0%B9%8C%E0%B8%9F%E0%B8%AD%E0%B8%A3%E0%B9%8C%E0%B8%94-%E0%B9%84%E0%B8%94%E0%B8%A1%E0%B8%AD%E0%B8%99-%E0%B8%97%E0%B8%B2%E0%B8%A7%E0%B9%80%E0%B8%A7%E0%B8%AD%E0%B8%A3%E0%B9%8C-%E0%B8%AA%E0%B8%B8%E0%B8%82%E0%B8%B8%E0%B8%A1%E0%B8%A7%E0%B8%B4%E0%B8%97-%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E-%E0%B8%82%E0%B8%B2%E0%B8%A2-10765302#contact-agent","Sukanya Rose","""The Waterford Diamon 30/1 Sale 2 bed/1 br size 70 sqm 7.2 Million""","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC"
"https://www.ddproperty.com/property/rhythm-sukhumvit-36-38-%E0%B8%A3%E0%B8%B4%E0%B8%97%E0%B8%B6%E0%B9%88%E0%B8%A1-%E0%B8%AA%E0%B8%B8%E0%B8%82%E0%B8%B8%E0%B8%A1%E0%B8%A7%E0%B8%B4%E0%B8%97-36-38-%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E-%E0%B8%82%E0%B8%B2%E0%B8%A2-9195069","","Rhythm Sukhumvit 36-38 : ริทึ่ม สุขุมวิท 36-38, กรุงเทพ","55 ซอยสุขุมวิท 36 ถนนสุขุมวิท, พระโขนง, คลองเตย, กรุงเทพ","3,600,000","","","24 ตร.ม.","฿150,000 / ตารางเมตร","4 นาที (290 ม.) ถึง E6 BTS ทองหล่อ","ปีที่สร้างเสร็จ: 2016","1 วัน","https://www.ddproperty.com/property/rhythm-sukhumvit-36-38-%E0%B8%A3%E0%B8%B4%E0%B8%97%E0%B8%B6%E0%B9%88%E0%B8%A1-%E0%B8%AA%E0%B8%B8%E0%B8%82%E0%B8%B8%E0%B8%A1%E0%B8%A7%E0%B8%B4%E0%B8%97-36-38-%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E-%E0%B8%82%E0%B8%B2%E0%B8%A2-9195069#contact-agent","ศรุดา นวกิตติภัทร์ (คุณกุง)","""ถูกมาก แต่งสวยเหมือนห้องตัวอย่าง วิวไม่บล็อค สตูดิโอ 24 ตรม. ชั้น 14""","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC"
"https://www.ddproperty.com/property/ideo-morph-38-%E0%B9%84%E0%B8%AD%E0%B8%94%E0%B8%B5%E0%B9%82%E0%B8%AD-%E0%B8%A1%E0%B8%AD%E0%B8%A3%E0%B9%8C%E0%B8%9F-38-%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E-%E0%B8%82%E0%B8%B2%E0%B8%A2-3149522","","IDEO Morph 38 : ไอดีโอ มอร์ฟ 38, กรุงเทพ","88 ซอยสุขุมวิท 38 ถนนสุขุมวิท แขวงพระโขนง เขตคลองเตย กรุงเทพมหานคร, พระโขนง, คลองเตย, กรุงเทพ","6,190,000","1","1","37 ตร.ม.","฿167,297 / ตารางเมตร","5 นาที (370 ม.) ถึง E6 BTS ทองหล่อ","ปีที่สร้างเสร็จ: 2012","1 วัน","https://www.ddproperty.com/property/ideo-morph-38-%E0%B9%84%E0%B8%AD%E0%B8%94%E0%B8%B5%E0%B9%82%E0%B8%AD-%E0%B8%A1%E0%B8%AD%E0%B8%A3%E0%B9%8C%E0%B8%9F-38-%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E-%E0%B8%82%E0%B8%B2%E0%B8%A2-3149522#contact-agent","Mr. You","""Ideo Morph38, Next to BTS Thonglor, Stylish Duplex 1bed, 1bath,""","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC"
"https://www.ddproperty.com/property/bright-sukhumvit-24-%E0%B9%84%E0%B8%9A%E0%B8%A3%E0%B9%8C%E0%B8%97-%E0%B8%AA%E0%B8%B8%E0%B8%82%E0%B8%B8%E0%B8%A1%E0%B8%A7%E0%B8%B4%E0%B8%97-24-%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E-%E0%B8%82%E0%B8%B2%E0%B8%A2-10709105","เอเจนซี่อสังหาฯ","Bright Sukhumvit 24 : ไบร์ท สุขุมวิท 24, กรุงเทพ","ถนนสุขุมวิท 24, คลองตัน, คลองเตย, กรุงเทพ","16,200,000","2","2","86 ตร.ม.","฿188,372 / ตารางเมตร","10 นาที (760 ม.) ถึง E5 BTS พร้อมพงษ์","ปีที่สร้างเสร็จ: 2009","1 วัน","https://www.ddproperty.com/property/bright-sukhumvit-24-%E0%B9%84%E0%B8%9A%E0%B8%A3%E0%B9%8C%E0%B8%97-%E0%B8%AA%E0%B8%B8%E0%B8%82%E0%B8%B8%E0%B8%A1%E0%B8%A7%E0%B8%B4%E0%B8%97-24-%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E-%E0%B8%82%E0%B8%B2%E0%B8%A2-10709105#contact-agent","Citadel Real Estate Co., Ltd.","""Urgent Sale! Cheapest 2 Beds Condo!""","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC"
"https://www.ddproperty.com/property/urbitia-thonglor-%E0%B9%80%E0%B8%AD%E0%B8%AD%E0%B8%A3%E0%B9%8C%E0%B8%9A%E0%B8%B4%E0%B9%80%E0%B8%97%E0%B8%B5%E0%B8%A2-%E0%B8%97%E0%B8%AD%E0%B8%87%E0%B8%AB%E0%B8%A5%E0%B9%88%E0%B8%AD-%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E-%E0%B8%82%E0%B8%B2%E0%B8%A2-10775070","","Urbitia Thonglor  (เออร์บิเทีย ทองหล่อ), กรุงเทพ","19 ซอยสุขุมวิท 36 ถนนทองหล่อ, พระโขนง, คลองเตย, กรุงเทพ","4,900,000","1","1","35 ตร.ม.","฿141,414 / ตารางเมตร","2 นาที (120 ม.) ถึง E6 BTS ทองหล่อ","ปีที่สร้างเสร็จ: 2017","1 วัน","https://www.ddproperty.com/property/urbitia-thonglor-%E0%B9%80%E0%B8%AD%E0%B8%AD%E0%B8%A3%E0%B9%8C%E0%B8%9A%E0%B8%B4%E0%B9%80%E0%B8%97%E0%B8%B5%E0%B8%A2-%E0%B8%97%E0%B8%AD%E0%B8%87%E0%B8%AB%E0%B8%A5%E0%B9%88%E0%B8%AD-%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E-%E0%B8%82%E0%B8%B2%E0%B8%A2-10775070#contact-agent","Shinyu Residence","""ขาย คอนโด Urbitia Thonglor ขนาด 1 ห้องนอน 34 ตร.ม. ห้องแต่งสวย""","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC"
"https://www.ddproperty.com/property/ficus-lane-condominium-%E0%B9%84%E0%B8%9F%E0%B8%84%E0%B8%B1%E0%B8%AA-%E0%B9%80%E0%B8%A5%E0%B8%99-%E0%B8%84%E0%B8%AD%E0%B8%99%E0%B9%82%E0%B8%94%E0%B8%A1%E0%B8%B4%E0%B9%80%E0%B8%99%E0%B8%B5%E0%B8%A2%E0%B8%A1-%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E-%E0%B8%82%E0%B8%B2%E0%B8%A2-10360396","","Ficus Lane Condominium : ไฟคัส เลน คอนโดมิเนียม, กรุงเทพ","ซอยสุขุมวิท 44/1 (ซอยพิชัยสวัสดิ์), พระโขนง, คลองเตย, กรุงเทพ","75,000,000","4","4","440 ตร.ม.","฿170,455 / ตารางเมตร","3 นาที (230 ม.) ถึง E8 BTS พระโขนง","ปีที่สร้างเสร็จ: 2008","2 วัน","https://www.ddproperty.com/property/ficus-lane-condominium-%E0%B9%84%E0%B8%9F%E0%B8%84%E0%B8%B1%E0%B8%AA-%E0%B9%80%E0%B8%A5%E0%B8%99-%E0%B8%84%E0%B8%AD%E0%B8%99%E0%B9%82%E0%B8%94%E0%B8%A1%E0%B8%B4%E0%B9%80%E0%B8%99%E0%B8%B5%E0%B8%A2%E0%B8%A1-%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E-%E0%B8%82%E0%B8%B2%E0%B8%A2-10360396#contact-agent","Lazudi Thailand","""4 ห้องนอน 440ตร.ม ไฟคัส เลน คอนโดมิเนี่ยม -  LAZ01475""","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC"
